0,1
gcdrec-fla.asm,objfla
prime-fla.asm,objfla
1b-4-1-0-0-dc-2-1-1-fla.asm,objfla
binarysearchrec-fla.asm,objfla
comparestrings-fla.asm,objfla
1b-1-1-1-0-dc-1-0-1-fla.asm,objfla
palindrome-fla.asm,objfla
dekhash-fla.asm,objfla
binaryadd-fla.asm,objfla
romannumerals-fla.asm,objfla
binarymult-fla.asm,objfla
decimaltooctal-fla.asm,objfla
multtable-fla.asm,objfla
sumrec-fla.asm,objfla
factorialrec-fla.asm,objfla
djbhash-fla.asm,objfla
stringtoASCII-fla.asm,objfla
quicksort-fla.asm,objfla
jshash-fla.asm,objfla
fnvhash-fla.asm,objfla
nohash-fla.asm,objfla
factorial-fla.asm,objfla
rshash-fla.asm,objfla
1b-1-1-1-1-gt127-0-0-0-fla.asm,objfla
fib-fla.asm,objfla
1b-1-1-2-1-gt127-0-0-0-fla.asm,objfla
selectionsort-fla.asm,objfla
1b-1-1-0-0-dc-2-0-2-fla.asm,objfla
printinitials-fla.asm,objfla
1b-1-2-0-0-dc-2-0-2-fla.asm,objfla
armstrong-fla.asm,objfla
1b-4-1-0-0-dc-1-1-0-fla.asm,objfla
elfhash-fla.asm,objfla
16b-1-2-1-1-dc-1-1-0-fla.asm,objfla
16b-1-1-0-0-dc-2-1-0-fla.asm,objfla
pyramid-fla.asm,objfla
1b-1-2-1-1-gt127-1-0-1-fla.asm,objfla
iofile-fla.asm,objfla
1b-1-1-2-1-eq127-0-0-0-fla.asm,objfla
reverse-fla.asm,objfla
bkdrhash-fla.asm,objfla
1b-1-1-2-2-gt127_eq63_dep-0-0-0-fla.asm,objfla
1b-1-1-2-2-gt85_lt170-0-0-0-fla.asm,objfla
decimaltobinary-fla.asm,objfla
1b-1-2-2-2-gt63_eq127-0-0-0-fla.asm,objfla
1b-4-1-0-0-dc-2-1-0-fla.asm,objfla
1b-1-1-1-1-eq127-0-0-0-fla.asm,objfla
numtowords-fla.asm,objfla
16b-1-1-0-0-dc-2-2-0-fla.asm,objfla
1b-1-2-2-1-eq127-0-0-0-fla.asm,objfla
concatstrings-fla.asm,objfla
1b-1-1-1-1-eqsum127-1-0-1-fla.asm,objfla
bubblesort-fla.asm,objfla
16b-1-2-0-0-dc-2-1-1-fla.asm,objfla
binarysearch-fla.asm,objfla
1b-4-2-0-0-dc-2-1-1-fla.asm,objfla
1b-1-1-2-2-gt127_gt63_dep-0-0-0-fla.asm,objfla
pjwhash-fla.asm,objfla
1b-1-2-1-1-eq127-1-0-1-fla.asm,objfla
perfect-fla.asm,objfla
1b-4-2-1-1-gt127-1-1-0-fla.asm,objfla
decimaltohex-fla.asm,objfla
1b-1-2-1-1-gtsum127_dep-1-0-1-fla.asm,objfla
1b-1-1-0-0-dc-1-0-1-fla.asm,objfla
16b-1-1-1-1-dc-1-1-0-fla.asm,objfla
16b-1-1-0-0-dc-2-1-1-fla.asm,objfla
gcd-fla.asm,objfla
floyd-fla.asm,objfla
bphash-fla.asm,objfla
1b-4-2-0-0-dc-2-2-0-fla.asm,objfla
1b-1-2-2-2-gt63_eq127_dep-0-0-0-fla.asm,objfla
minmaxarray-fla.asm,objfla
16b-1-2-0-0-dc-2-2-0-fla.asm,objfla
1b-1-2-0-0-dc-2-0-1-fla.asm,objfla
1b-1-2-2-2-gt63_gt127-0-0-0-fla.asm,objfla
1b-1-2-1-1-eqsum127_dep-1-0-1-fla.asm,objfla
lcm-fla.asm,objfla
anagram-fla.asm,objfla
insertionsort-fla.asm,objfla
16b-1-1-0-0-dc-1-1-0-fla.asm,objfla
1b-1-1-1-1-gtsum127-1-0-1-fla.asm,objfla
1b-1-1-1-0-dc-0-0-0-fla.asm,objfla
frequency-fla.asm,objfla
1b-1-2-1-0-dc-1-0-1-fla.asm,objfla
1b-4-1-1-1-gt127-1-1-0-fla.asm,objfla
sdbmhash-fla.asm,objfla
1b-1-1-0-0-dc-1-0-0-fla.asm,objfla
1b-1-2-2-2-gt63_gt127_dep-0-0-0-fla.asm,objfla
1b-4-1-1-0-dc-1-1-0-fla.asm,objfla
random-fla.asm,objfla
1b-1-1-2-2-gt127_eq63-0-0-0-fla.asm,objfla
1b-1-1-0-0-dc-2-0-1-fla.asm,objfla
mergesort-fla.asm,objfla
16b-1-1-1-0-dc-1-1-0-fla.asm,objfla
vowels-fla.asm,objfla
1b-1-1-2-2-eq127_eq63-0-0-0-fla.asm,objfla
1b-4-2-1-0-dc-1-1-0-fla.asm,objfla
linearsearch-fla.asm,objfla
1b-1-2-2-1-gt127-0-0-0-fla.asm,objfla
numtowords-sub.asm,objsub
fib-sub.asm,objsub
1b-1-1-0-0-dc-1-0-0-sub.asm,objsub
1b-4-2-0-0-dc-2-2-0-sub.asm,objsub
linearsearch-sub.asm,objsub
16b-1-2-0-0-dc-2-2-0-sub.asm,objsub
16b-1-2-1-1-dc-1-1-0-sub.asm,objsub
romannumerals-sub.asm,objsub
1b-1-1-2-2-eq127_eq63-0-0-0-sub.asm,objsub
1b-1-1-1-1-gt127-0-0-0-sub.asm,objsub
1b-1-1-0-0-dc-2-0-2-sub.asm,objsub
vowels-sub.asm,objsub
decimaltooctal-sub.asm,objsub
binarysearchrec-sub.asm,objsub
1b-4-1-1-1-gt127-1-1-0-sub.asm,objsub
16b-1-1-0-0-dc-2-2-0-sub.asm,objsub
1b-1-1-1-1-eq127-0-0-0-sub.asm,objsub
insertionsort-sub.asm,objsub
16b-1-2-0-0-dc-2-1-1-sub.asm,objsub
perfect-sub.asm,objsub
gcdrec-sub.asm,objsub
16b-1-1-0-0-dc-2-1-0-sub.asm,objsub
1b-1-2-1-1-eqsum127_dep-1-0-1-sub.asm,objsub
frequency-sub.asm,objsub
iofile-sub.asm,objsub
1b-1-2-2-2-gt63_gt127_dep-0-0-0-sub.asm,objsub
1b-1-1-1-0-dc-1-0-1-sub.asm,objsub
1b-1-2-0-0-dc-2-0-1-sub.asm,objsub
concatstrings-sub.asm,objsub
bkdrhash-sub.asm,objsub
1b-1-2-2-2-gt63_gt127-0-0-0-sub.asm,objsub
1b-1-1-2-2-gt85_lt170-0-0-0-sub.asm,objsub
1b-1-2-2-1-eq127-0-0-0-sub.asm,objsub
1b-1-2-0-0-dc-2-0-2-sub.asm,objsub
1b-4-1-0-0-dc-2-1-0-sub.asm,objsub
1b-1-1-2-2-gt127_gt63_dep-0-0-0-sub.asm,objsub
1b-4-1-0-0-dc-1-1-0-sub.asm,objsub
sumrec-sub.asm,objsub
1b-1-1-1-1-eqsum127-1-0-1-sub.asm,objsub
elfhash-sub.asm,objsub
16b-1-1-1-0-dc-1-1-0-sub.asm,objsub
16b-1-1-0-0-dc-2-1-1-sub.asm,objsub
bubblesort-sub.asm,objsub
lcm-sub.asm,objsub
random-sub.asm,objsub
armstrong-sub.asm,objsub
1b-1-1-2-2-gt127_eq63_dep-0-0-0-sub.asm,objsub
rshash-sub.asm,objsub
1b-4-1-1-0-dc-1-1-0-sub.asm,objsub
1b-1-2-1-1-gtsum127_dep-1-0-1-sub.asm,objsub
1b-1-1-0-0-dc-1-0-1-sub.asm,objsub
stringtoASCII-sub.asm,objsub
1b-1-1-1-0-dc-0-0-0-sub.asm,objsub
1b-1-2-2-1-gt127-0-0-0-sub.asm,objsub
1b-1-2-2-2-gt63_eq127-0-0-0-sub.asm,objsub
quicksort-sub.asm,objsub
decimaltobinary-sub.asm,objsub
1b-1-1-1-1-gtsum127-1-0-1-sub.asm,objsub
decimaltohex-sub.asm,objsub
1b-1-1-2-1-eq127-0-0-0-sub.asm,objsub
1b-1-2-1-1-eq127-1-0-1-sub.asm,objsub
factorialrec-sub.asm,objsub
1b-1-1-2-1-gt127-0-0-0-sub.asm,objsub
sdbmhash-sub.asm,objsub
palindrome-sub.asm,objsub
gcd-sub.asm,objsub
selectionsort-sub.asm,objsub
1b-1-1-2-2-gt127_eq63-0-0-0-sub.asm,objsub
1b-4-2-1-0-dc-1-1-0-sub.asm,objsub
16b-1-1-0-0-dc-1-1-0-sub.asm,objsub
anagram-sub.asm,objsub
jshash-sub.asm,objsub
pyramid-sub.asm,objsub
factorial-sub.asm,objsub
1b-4-1-0-0-dc-2-1-1-sub.asm,objsub
dekhash-sub.asm,objsub
djbhash-sub.asm,objsub
multtable-sub.asm,objsub
minmaxarray-sub.asm,objsub
1b-4-2-1-1-gt127-1-1-0-sub.asm,objsub
1b-4-2-0-0-dc-2-1-1-sub.asm,objsub
1b-1-2-1-1-gt127-1-0-1-sub.asm,objsub
1b-1-2-2-2-gt63_eq127_dep-0-0-0-sub.asm,objsub
binaryadd-sub.asm,objsub
floyd-sub.asm,objsub
fnvhash-sub.asm,objsub
printinitials-sub.asm,objsub
pjwhash-sub.asm,objsub
16b-1-1-1-1-dc-1-1-0-sub.asm,objsub
prime-sub.asm,objsub
nohash-sub.asm,objsub
mergesort-sub.asm,objsub
reverse-sub.asm,objsub
bphash-sub.asm,objsub
comparestrings-sub.asm,objsub
1b-1-1-0-0-dc-2-0-1-sub.asm,objsub
binarymult-sub.asm,objsub
1b-1-2-1-0-dc-1-0-1-sub.asm,objsub
binarysearch-sub.asm,objsub
concatstrings-bcf.asm,objbcf
dekhash-bcf.asm,objbcf
floyd-bcf.asm,objbcf
1b-1-2-1-1-gtsum127_dep-1-0-1-bcf.asm,objbcf
16b-1-1-0-0-dc-1-1-0-bcf.asm,objbcf
gcdrec-bcf.asm,objbcf
perfect-bcf.asm,objbcf
1b-1-2-2-2-gt63_gt127-0-0-0-bcf.asm,objbcf
1b-4-2-1-0-dc-1-1-0-bcf.asm,objbcf
binarysearchrec-bcf.asm,objbcf
1b-4-1-0-0-dc-1-1-0-bcf.asm,objbcf
mergesort-bcf.asm,objbcf
factorial-bcf.asm,objbcf
selectionsort-bcf.asm,objbcf
1b-1-2-1-1-gt127-1-0-1-bcf.asm,objbcf
frequency-bcf.asm,objbcf
1b-1-1-2-2-gt85_lt170-0-0-0-bcf.asm,objbcf
minmaxarray-bcf.asm,objbcf
fnvhash-bcf.asm,objbcf
1b-1-1-1-0-dc-0-0-0-bcf.asm,objbcf
1b-1-1-2-1-eq127-0-0-0-bcf.asm,objbcf
linearsearch-bcf.asm,objbcf
romannumerals-bcf.asm,objbcf
comparestrings-bcf.asm,objbcf
1b-1-1-2-2-gt127_eq63-0-0-0-bcf.asm,objbcf
1b-1-2-1-1-eqsum127_dep-1-0-1-bcf.asm,objbcf
1b-1-2-2-2-gt63_eq127-0-0-0-bcf.asm,objbcf
1b-4-2-1-1-gt127-1-1-0-bcf.asm,objbcf
1b-1-2-2-2-gt63_eq127_dep-0-0-0-bcf.asm,objbcf
pyramid-bcf.asm,objbcf
lcm-bcf.asm,objbcf
iofile-bcf.asm,objbcf
1b-1-1-1-1-eqsum127-1-0-1-bcf.asm,objbcf
nohash-bcf.asm,objbcf
1b-4-2-0-0-dc-2-1-1-bcf.asm,objbcf
elfhash-bcf.asm,objbcf
1b-1-1-0-0-dc-1-0-0-bcf.asm,objbcf
decimaltobinary-bcf.asm,objbcf
fib-bcf.asm,objbcf
binaryadd-bcf.asm,objbcf
reverse-bcf.asm,objbcf
1b-1-1-2-1-gt127-0-0-0-bcf.asm,objbcf
printinitials-bcf.asm,objbcf
1b-1-1-0-0-dc-1-0-1-bcf.asm,objbcf
1b-1-1-0-0-dc-2-0-1-bcf.asm,objbcf
16b-1-1-1-1-dc-1-1-0-bcf.asm,objbcf
16b-1-1-0-0-dc-2-2-0-bcf.asm,objbcf
binarysearch-bcf.asm,objbcf
1b-1-1-1-1-gtsum127-1-0-1-bcf.asm,objbcf
16b-1-2-0-0-dc-2-1-1-bcf.asm,objbcf
16b-1-1-0-0-dc-2-1-1-bcf.asm,objbcf
prime-bcf.asm,objbcf
1b-1-1-1-1-gt127-0-0-0-bcf.asm,objbcf
palindrome-bcf.asm,objbcf
insertionsort-bcf.asm,objbcf
quicksort-bcf.asm,objbcf
numtowords-bcf.asm,objbcf
gcd-bcf.asm,objbcf
1b-1-2-2-1-gt127-0-0-0-bcf.asm,objbcf
decimaltohex-bcf.asm,objbcf
sumrec-bcf.asm,objbcf
1b-4-2-0-0-dc-2-2-0-bcf.asm,objbcf
1b-1-2-0-0-dc-2-0-2-bcf.asm,objbcf
rshash-bcf.asm,objbcf
stringtoASCII-bcf.asm,objbcf
1b-4-1-1-1-gt127-1-1-0-bcf.asm,objbcf
16b-1-2-1-1-dc-1-1-0-bcf.asm,objbcf
1b-1-1-2-2-eq127_eq63-0-0-0-bcf.asm,objbcf
1b-4-1-0-0-dc-2-1-0-bcf.asm,objbcf
1b-1-2-1-0-dc-1-0-1-bcf.asm,objbcf
1b-4-1-0-0-dc-2-1-1-bcf.asm,objbcf
factorialrec-bcf.asm,objbcf
16b-1-1-0-0-dc-2-1-0-bcf.asm,objbcf
bphash-bcf.asm,objbcf
multtable-bcf.asm,objbcf
binarymult-bcf.asm,objbcf
decimaltooctal-bcf.asm,objbcf
1b-1-2-1-1-eq127-1-0-1-bcf.asm,objbcf
1b-1-1-0-0-dc-2-0-2-bcf.asm,objbcf
1b-1-2-2-2-gt63_gt127_dep-0-0-0-bcf.asm,objbcf
sdbmhash-bcf.asm,objbcf
pjwhash-bcf.asm,objbcf
1b-1-2-2-1-eq127-0-0-0-bcf.asm,objbcf
random-bcf.asm,objbcf
1b-1-1-2-2-gt127_eq63_dep-0-0-0-bcf.asm,objbcf
16b-1-1-1-0-dc-1-1-0-bcf.asm,objbcf
1b-1-1-1-1-eq127-0-0-0-bcf.asm,objbcf
bubblesort-bcf.asm,objbcf
anagram-bcf.asm,objbcf
1b-1-1-2-2-gt127_gt63_dep-0-0-0-bcf.asm,objbcf
1b-4-1-1-0-dc-1-1-0-bcf.asm,objbcf
bkdrhash-bcf.asm,objbcf
vowels-bcf.asm,objbcf
jshash-bcf.asm,objbcf
1b-1-1-1-0-dc-1-0-1-bcf.asm,objbcf
16b-1-2-0-0-dc-2-2-0-bcf.asm,objbcf
djbhash-bcf.asm,objbcf
armstrong-bcf.asm,objbcf
1b-1-2-0-0-dc-2-0-1-bcf.asm,objbcf
